"species","breed_name","color","name","actual_card_num","sex","birth_date"
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","МИЛА",14311,2,20140524
2,"МЕТИС","РЫЖИЙ С БЕЛЫМ","РЫЖИК",5528,3,20130303
1,"КУРЦХААР","КОФЕЙНЫЙ","КЭРИ",8487,2,20060915
1,"ОВЧАРКА НЕМЕЦКАЯ","ЧЕПРАК","ШОРДА",5456,2,20140606
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","МАЛЫШ",512,1,20090405
2,"ЕВРОПЕЙСКАЯ КОРОТКОШЕРСТНАЯ","БЕЛО-СЕРЫЙ ТАББИ","МУСЯ",515,2,20080830
1,"МЕТИС","ЧЕРНЫЙ","МУХТАР",6398,1,20090317
2,"МЕТИС","СЕРЫЙ ТАББИ","ЛИС",520,3,20080508
2,"МЕТИС","ЧЕРНЫЙ","АНФИСА",5458,4,20000112
2,"МЕТИС","БЕЛО-ЧЕРНЫЙ","КАСПЕР",523,2,20030223
2,"ЕВРОПЕЙСКАЯ КОРОТКОШЕРСТНАЯ","СЕРЫЙ ТАББИ БИКОЛ","КЕША",524,3,20060815
1,"МЕТИС","РЫЖИЙ","ДУСЯ",7127,2,20050801
2,"МЕТИС","СЕРЫЙ ТАББИ","МУСЯ",526,2,20080607
2,"ЕВРОПЕЙСКАЯ КОРОТКОШЕРСТНАЯ","РЫЖИЙ ТАББИ","ФОКСИК",529,3,20030810
1,"ОВЧАРКА НЕМЕЦКАЯ","ЧЕРНЫЙ","ДЖЕССИ",531,2,20080515
1,"ПЕКИНЕС","ПОРОДНЫЙ","ЧАРЛИК",542,1,20071121
2,"ТАЙСКАЯ","Ш/П","СНЕЖОК",5612,3,20140301
2,"ЕВРОПЕЙСКАЯ КОРОТКОШЕРСТНАЯ","СЕРЫЙ ТАББИ","СОНЯ",590,4,20080830
1,"ПЕКИНЕС","РЫЖИЙ","РИЧАРД",595,1,20050223
2,"МЕТИС","СЕРЕБРИСТЫЙ ТАББИ","БАСЯ",6321,2,20100815
1,"ТАКСА КАРЛИКОВАЯ ГЛАДКОШЕРСТНАЯ","ПОРОДНЫЙ","ЧИЛИТА",13778,2,20140102
1,"МЕТИС","ЧЁРНО-СЕРЫЙ","ТУСЯ",11007,2,20080110
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБАЯ","РУНА",5526,2,20150728
1,"ТЕРЬЕР АМЕРИКАНСКИЙ СТАФФОРДШИРСКИЙ","БЕЛЫЙ","ТАЙСОН",901,1,20090524
2,"СИБИРСКАЯ","СЕРЫЙ ТАББИ","ДАРА",1083,2,20070815
1,"КИТАЙСКАЯ ХОХЛАТАЯ СОБАКА","БЕЛЫЙ","БУСИК",13780,3,20110308
2,"ЕВРОПЕЙСКАЯ КОРОТКОШЕРСТНАЯ","ЧЕРНЫЙ БИКОЛОР","БОНЯ",1261,4,20080715
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ЧЕРЕПАХОВЫЙ","БУСИНКА",13781,4,20140312
2,"МЕТИС","БЕЛО-СЕРЫЙ","ТАЙСОН",5525,3,20150415
1,"МЕТИС","ЧЕПРАЧНЫЙ","ЛАЙМА",569,4,20080815
2,"МЕТИС","РЫЖИЙ ТАББИ","ЧИП",5017,1,20090401
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","МАРКИЗ",7077,1,20090715
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","СЕРЕБ ТАББИ","СЕМЕН",1794,3,20130210
1,"ТЕРЬЕР ЯГД","ПОРОДНЫЙ","НОРД",7829,1,20091102
1,"ОВЧАРКА НЕМЕЦКАЯ","ЧЕПРАЧНЫЙ","РЭЙ",6617,1,20091011
1,"ПУДЕЛЬ ТОЙ","БЕЖЕВЫЙ","КНОПКА",11460,2,20090504
2,"МЕТИС","ЧЕРНЫЙ","СИМОНА",5600,4,20150510
2,"МЕТИС","ЧЕРНЫЙ","ХОМОЧКА",8671,1,19980716
1,"ОВЧАРКА НЕМЕЦКАЯ","ЧЕРНО-ПОДПАЛЫЙ","ГЕРДА",2112,2,20081215
1,"ОВЧАРКА НЕМЕЦКАЯ","ЧЕПРАЧНЫЙ","ВУЛКАН",6632,1,20031109
2,"ЕВРОПЕЙСКАЯ КОРОТКОШЕРСТНАЯ","СЕРЫЙ ТАББИ","АСИК",2214,1,20100325
1,"МЕТИС","ЧЕПРАЧНЫЙ","ВАКС",2290,1,20091115
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","БАКС",2388,1,20090328
2,"МЕТИС","БЕЛАЯ","ТИМКА",11780,2,20090910
2,"МЕТИС","СЕРО-БЕЛАЯ","МАША",6933,2,20030601
2,"МЕТИС","СЕРЫЙ ТАББИ","ЛЁВКА",6300,3,20090901
1,"МЕТИС","ЧЕРНЫЙ КРАП","ДЖЕК",6379,1,20080815
2,"МЕТИС","СЕРЫЙ ТАББИ БИК.","МОЛГАЖАТА",2571,4,20100812
2,"МЕТИС","БЕЛО-СЕРЫЙ","ЛИЗА",2572,4,20100818
1,"ЛАЙКА ЗАПАДНО-СИБИРСКАЯ","БЕЛО-РЫЖАЯ","АЗА",12309,2,20110120
1,"КИТАЙСКАЯ ХОХЛАТАЯ СОБАКА","БЕЛО-БРОНЗОВЫЙ","ЛЁЛЯ",2574,2,20101208
1,"ТЕРЬЕР ЯГД","ПОРОДНЫЙ","БРЭД",340,1,20100601
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","СТЛЬНОЙ СЗОЛОТОМ","ТОБИК",12482,1,20101203
1,"МЕТИС","БЕЛО-РЫЖИЙ","ФЕНЯ",2744,1,20110507
1,"ЧИ-ХУА-ХУА","НЕТ","ВИРГА",353,2,19991003
2,"МЕТИС","БЕЛО-СЕРЫЙ","ФЕЛИКС",5026,3,20111115
